Time,Distance
8.19221,0.01200571
8.197794,0.01477208
8.206491,0.01905743
8.213756,0.02261023
8.220086,0.02568148
8.225804,0.02843383
8.231277,0.03104656
8.238705,0.03455445
8.244317,0.03717374
8.252035,0.04072793
8.256817,0.04289949
8.263197,0.04575893
8.271241,0.04929703
8.276983,0.05177456
8.284296,0.0548671
8.290903,0.05759854
8.297231,0.06015565
8.304428,0.0629909
8.311495,0.06569512
8.319372,0.06861318
8.325404,0.07077564
8.332276,0.0731607
8.339861,0.07569272
8.346079,0.07768753
8.355015,0.08042245
8.360707,0.08208119
8.367621,0.08400653
8.373851,0.08565519
8.380571,0.08734047
8.388472,0.08919571
8.394773,0.09057548
8.40294,0.09223013
8.409066,0.09337052
8.414973,0.0943872
8.422005,0.09548989
8.428915,0.09645869
8.436074,0.09734081
8.442915,0.09806731
8.449557,0.09866289
8.457098,0.09920714
8.463437,0.09955555
8.471339,0.09984987
8.477422,0.09997025
8.484777,0.09999233
8.491589,0.09989218
8.49811,0.09968775
8.505473,0.09932951
8.512156,0.0988878
8.518734,0.0983453
8.525515,0.09767475
8.532037,0.09692376
8.539907,0.09588029
8.546152,0.09494686
8.555031,0.09346037
8.561343,0.09229134
8.569909,0.09055832
8.575179,0.08940925
8.58091,0.08808944
8.589146,0.08606622
8.594697,0.08462
8.603337,0.08223971
8.608262,0.08081403
8.615356,0.07867431
8.62358,0.07607036
8.630341,0.07383323
8.638665,0.07096294
8.644005,0.06905673
8.650293,0.06674896
8.658511,0.0636337
8.663975,0.06150294
8.673282,0.05776834
8.679729,0.05510733
8.68634,0.05231948
8.69299,0.04945757
8.699679,0.04652343
8.706993,0.04325613
8.714329,0.03992084
8.723145,0.03584161
8.730897,0.03219736
8.738516,0.02856801
8.745043,0.02542625
8.752341,0.02188052
8.759515,0.01836753
8.765548,0.01539428
8.773911,0.0112502
8.780462,0.007989867
8.789344,0.003556952
8.797385,0.0004629866
8.807548,0.005541325
8.815444,0.009478129
8.823733,0.01359482
8.831182,0.01727463
8.837877,0.02056103
8.844625,0.02385108
8.852983,0.02788711
8.860508,0.03147969
8.868954,0.03545861
8.876378,0.03890427
8.883512,0.04216528
8.891413,0.04571291
8.898617,0.04888638
8.905778,0.05197784
8.913309,0.0551571
8.921178,0.05839542
8.927752,0.06103214
8.935428,0.06402642
8.943391,0.0670332
8.950294,0.06955429
8.957129,0.07196869
8.964362,0.0744319
8.972351,0.07703935
8.979239,0.0791892
8.986292,0.08129268
8.993606,0.08336765
9.000506,0.08522314
9.008194,0.08717059
9.014854,0.08875386
9.022216,0.09038923
9.033288,0.09261759
9.041796,0.09413739
9.05044,0.09550713
9.057534,0.09649815
9.063929,0.09728735
9.071127,0.09805687
9.078377,0.09870338
9.085464,0.09921013
9.091928,0.09956365
9.097731,0.09979246
9.105612,0.09996867
9.11239,0.09999608
9.12076,0.09987148
9.128577,0.09959713
9.135816,0.09920745
9.142213,0.09875488
9.150007,0.0980669
9.157555,0.09725889
9.164264,0.09642425
9.172204,0.09529644
9.179105,0.09419417
9.18644,0.09289966
9.19348,0.09153958
9.20124,0.0899092
9.209891,0.08793199
9.217519,0.08605237
9.22457,0.08420311
9.231376,0.0823192
9.239917,0.07982022
9.246464,0.07780596
9.254238,0.07530591
9.26141,0.07289871
9.269213,0.07017338
9.275664,0.06783887
9.283364,0.06496084
9.290764,0.06210412
9.297504,0.05942781
9.305239,0.05627412
9.312302,0.05332026
9.319823,0.05010162
9.326724,0.04708629
9.334074,0.04381305
9.341318,0.04052946
9.348095,0.03740898
